,,,,History for multiple measurements
,,,,from 6/20/2025 6:00:00 AM to 6/20/2025 8:00:00 PM
,,,,Today is 6/22/2025 8:27:58 AM
TIME,NAME,VALUE,QUALITY
2025-06-20 06:00:01.062,DCS WS-E_BAROMETER INHG,24.830,
2025-06-20 06:02:01.046,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:06:01.101,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:20:01.082,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:24:01.068,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:26:01.011,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:30:01.070,DCS WS-E_BAROMETER INHG,24.850,
2025-06-20 06:32:01.006,DCS WS-E_BAROMETER INHG,24.850,
2025-06-20 06:34:01.062,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:36:01.009,DCS WS-E_BAROMETER INHG,24.840,
2025-06-20 06:00:01.062,DCS WS-E_DNI W,364.721,
2025-06-20 06:02:01.046,DCS WS-E_DNI W,380.555,
2025-06-20 06:04:01.080,DCS WS-E_DNI W,399.748,
2025-06-20 06:06:01.101,DCS WS-E_DNI W,416.541,
2025-06-20 06:08:01.058,DCS WS-E_DNI W,435.255,
2025-06-20 06:10:01.044,DCS WS-E_DNI W,449.169,
2025-06-20 06:12:01.105,DCS WS-E_DNI W,463.084,
2025-06-20 06:14:01.024,DCS WS-E_DNI W,476.039,
2025-06-20 06:16:01.088,DCS WS-E_DNI W,484.675,
2025-06-20 06:18:01.051,DCS WS-E_DNI W,497.152,
2025-06-20 06:20:01.082,DCS WS-E_DNI W,511.547,
2025-06-20 06:22:01.053,DCS WS-E_DNI W,523.544,
2025-06-20 06:24:01.068,DCS WS-E_DNI W,525.943,
2025-06-20 06:26:01.011,DCS WS-E_DNI W,541.778,
2025-06-20 06:28:01.043,DCS WS-E_DNI W,556.654,
2025-06-20 06:30:01.070,DCS WS-E_DNI W,567.211,
2025-06-20 06:32:01.006,DCS WS-E_DNI W,573.929,
2025-06-20 06:34:01.062,DCS WS-E_DNI W,586.406,
2025-06-20 06:36:01.009,DCS WS-E_DNI W,597.923,
2025-06-20 06:38:01.064,DCS WS-E_DNI W,604.641,
2025-06-20 06:40:01.042,DCS WS-E_DNI W,614.239,
2025-06-20 06:42:01.013,DCS WS-E_DNI W,623.836,
2025-06-20 06:44:01.070,DCS WS-E_DNI W,631.514,
2025-06-20 06:46:01.020,DCS WS-E_DNI W,637.753,
2025-06-20 06:48:01.087,DCS WS-E_DNI W,645.911,
2025-06-20 06:50:01.064,DCS WS-E_DNI W,652.629,
2025-06-20 06:52:01.055,DCS WS-E_DNI W,659.347,
2025-06-20 06:54:01.022,DCS WS-E_DNI W,664.141,
2025-06-20 06:56:01.003,DCS WS-E_DNI W,672.278,
2025-06-20 06:00:01.062,DCS WS-E_HUMIDITY PCT,18.900,
2025-06-20 06:02:01.046,DCS WS-E_HUMIDITY PCT,18.800,
2025-06-20 06:04:01.080,DCS WS-E_HUMIDITY PCT,18.700,
2025-06-20 06:06:01.101,DCS WS-E_HUMIDITY PCT,18.600,
2025-06-20 06:08:01.058,DCS WS-E_HUMIDITY PCT,18.600,
2025-06-20 06:10:01.044,DCS WS-E_HUMIDITY PCT,18.500,
2025-06-20 06:12:01.105,DCS WS-E_HUMIDITY PCT,18.500,
2025-06-20 06:14:01.024,DCS WS-E_HUMIDITY PCT,18.400,
2025-06-20 06:16:01.088,DCS WS-E_HUMIDITY PCT,18.200,
2025-06-20 06:18:01.051,DCS WS-E_HUMIDITY PCT,18.000,
2025-06-20 06:20:01.082,DCS WS-E_HUMIDITY PCT,18.000,
2025-06-20 06:22:01.053,DCS WS-E_HUMIDITY PCT,18.300,
2025-06-20 06:24:01.068,DCS WS-E_HUMIDITY PCT,19.600,
2025-06-20 06:26:01.011,DCS WS-E_HUMIDITY PCT,20.200,
2025-06-20 06:28:01.043,DCS WS-E_HUMIDITY PCT,20.100,
2025-06-20 06:30:01.070,DCS WS-E_HUMIDITY PCT,19.900,
2025-06-20 06:32:01.006,DCS WS-E_HUMIDITY PCT,19.600,
2025-06-20 06:34:01.062,DCS WS-E_HUMIDITY PCT,19.400,
2025-06-20 06:36:01.009,DCS WS-E_HUMIDITY PCT,19.000,
2025-06-20 06:38:01.064,DCS WS-E_HUMIDITY PCT,18.600,
2025-06-20 06:40:01.042,DCS WS-E_HUMIDITY PCT,18.100,
2025-06-20 06:42:01.013,DCS WS-E_HUMIDITY PCT,18.000,
2025-06-20 06:44:01.070,DCS WS-E_HUMIDITY PCT,17.700,
2025-06-20 06:46:01.020,DCS WS-E_HUMIDITY PCT,17.500,
2025-06-20 06:48:01.087,DCS WS-E_HUMIDITY PCT,17.100,
2025-06-20 06:50:01.064,DCS WS-E_HUMIDITY PCT,17.000,
2025-06-20 06:52:01.055,DCS WS-E_HUMIDITY PCT,16.900,
2025-06-20 06:54:01.022,DCS WS-E_HUMIDITY PCT,16.800,
2025-06-20 06:56:01.003,DCS WS-E_HUMIDITY PCT,16.700,
2025-06-20 06:00:01.062,DCS WS-E_TEMPERATURE DEGF,62.000,
2025-06-20 06:02:01.046,DCS WS-E_TEMPERATURE DEGF,62.200,
2025-06-20 06:06:01.101,DCS WS-E_TEMPERATURE DEGF,62.400,
2025-06-20 06:12:01.105,DCS WS-E_TEMPERATURE DEGF,62.600,
2025-06-20 06:14:01.024,DCS WS-E_TEMPERATURE DEGF,62.700,
2025-06-20 06:16:01.088,DCS WS-E_TEMPERATURE DEGF,62.900,
2025-06-20 06:18:01.051,DCS WS-E_TEMPERATURE DEGF,63.100,
2025-06-20 06:20:01.082,DCS WS-E_TEMPERATURE DEGF,63.300,
2025-06-20 06:22:01.053,DCS WS-E_TEMPERATURE DEGF,63.100,
2025-06-20 06:24:01.068,DCS WS-E_TEMPERATURE DEGF,61.300,
2025-06-20 06:26:01.011,DCS WS-E_TEMPERATURE DEGF,60.600,
2025-06-20 06:28:01.043,DCS WS-E_TEMPERATURE DEGF,60.400,
2025-06-20 06:30:01.070,DCS WS-E_TEMPERATURE DEGF,60.800,
2025-06-20 06:32:01.006,DCS WS-E_TEMPERATURE DEGF,61.300,
2025-06-20 06:34:01.062,DCS WS-E_TEMPERATURE DEGF,61.700,
2025-06-20 06:36:01.009,DCS WS-E_TEMPERATURE DEGF,62.000,
2025-06-20 06:38:01.064,DCS WS-E_TEMPERATURE DEGF,62.700,
2025-06-20 06:40:01.042,DCS WS-E_TEMPERATURE DEGF,63.500,
2025-06-20 06:42:01.013,DCS WS-E_TEMPERATURE DEGF,63.800,
2025-06-20 06:44:01.070,DCS WS-E_TEMPERATURE DEGF,64.200,
2025-06-20 06:46:01.020,DCS WS-E_TEMPERATURE DEGF,64.500,
2025-06-20 06:48:01.087,DCS WS-E_TEMPERATURE DEGF,65.100,
2025-06-20 06:50:01.064,DCS WS-E_TEMPERATURE DEGF,65.400,
2025-06-20 06:52:01.055,DCS WS-E_TEMPERATURE DEGF,65.800,
2025-06-20 06:54:01.022,DCS WS-E_TEMPERATURE DEGF,66.000,
2025-06-20 06:56:01.003,DCS WS-E_TEMPERATURE DEGF,66.200,
2025-06-20 06:00:01.062,DCS WS-E_WINDDIRECTION DEG,337.000,
2025-06-20 06:02:01.046,DCS WS-E_WINDDIRECTION DEG,341.000,
2025-06-20 06:04:01.080,DCS WS-E_WINDDIRECTION DEG,346.000,
2025-06-20 06:06:01.101,DCS WS-E_WINDDIRECTION DEG,340.000,
2025-06-20 06:08:01.058,DCS WS-E_WINDDIRECTION DEG,340.000,
2025-06-20 06:10:01.044,DCS WS-E_WINDDIRECTION DEG,340.000,
2025-06-20 06:12:01.105,DCS WS-E_WINDDIRECTION DEG,343.000,
2025-06-20 06:14:01.024,DCS WS-E_WINDDIRECTION DEG,318.000,
2025-06-20 06:16:01.088,DCS WS-E_WINDDIRECTION DEG,341.000,
2025-06-20 06:18:01.051,DCS WS-E_WINDDIRECTION DEG,333.000,
2025-06-20 06:20:01.082,DCS WS-E_WINDDIRECTION DEG,38.000,
2025-06-20 06:22:01.053,DCS WS-E_WINDDIRECTION DEG,135.000,
2025-06-20 06:24:01.068,DCS WS-E_WINDDIRECTION DEG,157.000,
2025-06-20 06:26:01.011,DCS WS-E_WINDDIRECTION DEG,204.000,
2025-06-20 06:28:01.043,DCS WS-E_WINDDIRECTION DEG,189.000,
2025-06-20 06:30:01.070,DCS WS-E_WINDDIRECTION DEG,202.000,
